wer,sim1,sim2,membership
1.095432695,-0.065973574,7.12047619,1
0.598938819,-0.035103051,4.649761905,1
1.070924465,-0.089350925,10.40071429,1
1.360470169,-0.065288761,7.659880952,1
1.200809255,-0.04213328,6.044166667,1
2.100025595,-0.077261866,8.228571429,1
0.91973227,-0.033650632,3.931785714,1
1.383733859,-0.061919913,7.494047619,1
1.720658683,-0.072331057,8.992261905,1
1.357924742,-0.070672892,4.043333333,1
1.484099537,-0.084428394,7.768333333,1
2.192710077,-0.092938115,8.205833333,1
0.825401277,-0.048657045,5.414047619,1
1.482287679,-0.056746043,5.496547619,1
0.818548187,-0.062527251,7.721785714,1
0.737188649,-0.053369393,5.763571429,1
0.145423314,-0.020776779,-0.023809524,1
1.216763459,-0.038543888,4.538690476,1
1.396293635,-0.042445733,5.776904762,1
0.727299101,-0.034106005,3.815952381,1
1.943718746,-0.082753614,8.492857143,1
0.819466804,-0.02001667,2.834880952,1
1.884788127,-0.070322082,9.034166667,1
1.744119768,-0.090671987,22.15928571,1
1.51370833,-0.06955661,6.976547619,1
1.508721007,-0.103396552,8.036071429,1
1.799357932,-0.078020466,29.61309524,1
1.53773223,-0.071158067,7.291666667,1
1.067702723,-0.0449737,4.551547619,1
1.919558008,-0.059530225,7.291666667,1
0.763070225,-0.0587466,6.296190476,1
1.449527577,-0.069368307,10.71440476,1
2.49564852,-0.102560806,8.928095238,1
1.759039596,-0.099835013,9.13702381,1
1.164700518,-0.036303594,5.72202381,1
1.007078835,-0.02140342,5.505952381,1
1.712257768,-0.084203477,15.6177381,1
1.573308257,-0.080487389,33.44809524,1
1.925177242,-0.053010527,4.274761905,1
1.387765437,-0.046661624,5.065714286,1
1.556579519,-0.070625124,8.681309524,1
1.390543202,-0.060224693,7.272380952,1
1.538942812,-0.045368388,3.603690476,1
1.306438095,-0.052718545,6.25,1
0.706558004,-0.033883717,3.893928571,1
0.698370833,-0.030300522,2.446547619,1
2.249866131,-0.108667328,9.404761905,1
1.822955087,-0.091559457,6.510714286,1
0.971652382,-0.034784807,4.081309524,1
0.867672554,-0.045851633,5.749880952,1
0.867952195,-0.05187543,4.947738095,1
0.955526548,-0.049298804,5.481428571,1
